English,Ukrainian,flutter,тріпотіння,number_of_right_answers
English,Ukrainian,voluminous,об'ємні,
English,Ukrainian,brimmed,наповнений краєм,
English,Ukrainian,brim,край,
English,Ukrainian,Hinder,Перешкоджати,
English,Ukrainian,commensurate,співмірний,
German,Ukrainian,Zusatzpanzerung,додаткова броня,
English,Ukrainian,rapacious,хижий,
English,Ukrainian,outlook,світогляд,
English,Ukrainian,upbringing,виховання,
English,Ukrainian,herald,вісник,
English,Ukrainian,precipitously,стрімко,
English,Ukrainian,paragon,зразком,
English,Ukrainian,usher,пристав,
English,Ukrainian,tenacity,завзятість,
English,Ukrainian,shun,уникати,
English,Ukrainian,perseverance,наполегливість,
English,Ukrainian,deter,стримувати,
English,Ukrainian,denunciation,донос,
English,Ukrainian,grip,захоплення,
English,Ukrainian,assertive,напористий,
English,Ukrainian,daunt,лякати,
English,Ukrainian,shudder,здригатися,
English,Ukrainian,platitude,банальність,
English,Ukrainian,blunt,тупий,
English,Ukrainian,fugitive,втікач,
English,Ukrainian,insatiable,ненаситний,
English,Ukrainian,indiscriminately,без розбору,
English,Ukrainian,mould,цвіль,
English,Ukrainian,conduit,трубопровід,
English,Ukrainian,par excellence,par excellence,
English,Ukrainian,nimble,спритний,
English,Ukrainian,disarmingly,обеззброююче,
English,Ukrainian,befit,личить,
English,Ukrainian,exude,виділятися,
English,Ukrainian,struck out,викреслено,
English,Ukrainian,underdog,аутсайдер,
English,Ukrainian,disaffected,незадоволений,
English,Ukrainian,dabble,плескатися,
English,Ukrainian,flicker,мерехтіння,
English,Ukrainian,twinkle,мерехтіння,
English,Ukrainian,scurrilous,сварливий,
English,Ukrainian,dubious,сумнівний,
English,Ukrainian,swatches,зразки,
English,Ukrainian,forthcoming,майбутній,
English,Ukrainian,stud,шпилька,
English,Ukrainian,fruitless,безплідний,
English,Ukrainian,flurry,шквал,
English,Ukrainian,barring,заборона,
English,Ukrainian,strident,пронизливий,
English,Ukrainian,scold,лаяти,
English,Ukrainian,blickness,чорнота,
English,Ukrainian,swashbuckler,пройдисвіт,
English,Ukrainian,cog,гвинтик,
English,Ukrainian,underpin,підкладка,
English,Ukrainian,frenetic,шалений,
English,Ukrainian,wield,володіти,
English,Ukrainian,smoulder,тліти,
English,Ukrainian,dawn,світанок,
English,Ukrainian,grimly,похмуро,
English,Ukrainian,gruesome,жахливий,
English,Ukrainian,drainpipe,водостічна труба,
English,Ukrainian,flatbed,планшетний,
English,Ukrainian,makeshift,імпровізований,
English,Ukrainian,plight,важке становище,
English,Ukrainian,carnage,різанина,
English,Ukrainian,bloodcurdling,кровообіг,
English,Ukrainian,cowered,зіщулився,
English,Ukrainian,putrid,гнильний,
English,Ukrainian,fetid,смердючий,
English,Ukrainian,thick-set,густонасаджений,
English,Ukrainian,overtly,відверто,
English,Ukrainian,waiver,відмова,
English,Ukrainian,covert,прихований,
English,Ukrainian,vying,змагаючись,
English,Ukrainian,wiry,жилавий,
English,Ukrainian,trickle,цівка,
English,Ukrainian,rag-tag,ганчірка,
English,Ukrainian,throes,муки,
English,Ukrainian,chaperoning,супроводжуючий,
English,Ukrainian,corkscrew,штопор,
English,Ukrainian,expanse,роздолля,
English,Ukrainian,barren,безплідний,
English,Ukrainian,vicious,порочний,
English,Ukrainian,wet-bulb,вологий термометр,
English,Ukrainian,egregious,кричущий,
English,Ukrainian,creep ahead,повзти вперед,
English,Ukrainian,juror,присяжний,
English,Ukrainian,nomadic,кочовий,
English,Ukrainian,sneak up,підкрастися,
English,Ukrainian,soliciting,вимагання,
English,Ukrainian,lit,освітлений,
English,Ukrainian,a leap year,високосний рік,
English,Ukrainian,novelty effect,ефект новизни,
English,Ukrainian,onus,тягар,
Ukrainian,English,п’ята,the fifth,
Ukrainian,English,пупок,navel,
English,Ukrainian,drywall,гіпсокартон,
English,Ukrainian,resort,курорт,
English,Ukrainian,invariably,незмінно,
English,Ukrainian,concentric,концентричний,
English,Ukrainian,gerrymandering,джерімендінг,
English,Ukrainian,disillusioned,розчарований,
English,Ukrainian,sophistry,софістика,
English,Ukrainian,lump,грудка,
English,Ukrainian,overt,відкритий,
English,Ukrainian,palpable,відчутний,
English,Ukrainian,upending,перевертання,
English,Ukrainian,contender,претендент,
English,Ukrainian,grabby,хапливий,
English,Ukrainian,clobber,стукати,
English,Ukrainian,charred,обвуглені,
English,Ukrainian,anointed,помазаний,
English,Ukrainian,hose,шланг,
English,Ukrainian,hook up,підключити,
English,Ukrainian,mesmerized,загіпнотизований,
English,Ukrainian,innermost,найпотаємніший,
English,Ukrainian,craven,боягузливий,
English,Ukrainian,abomination,гидота,
English,Ukrainian,watertight,водонепроникний,
English,Ukrainian,defamation,наклеп,
English,Ukrainian,desist,припинити,
English,Ukrainian,cease,припинити,
English,Ukrainian,snap,знімок,
English,Ukrainian,sacrosanct,священний,
English,Ukrainian,ruse,хитрість,
English,Ukrainian,aberration,аберація,
English,Ukrainian,goofy,дурний,
English,Ukrainian,confide,довіряти,
English,Ukrainian,disenfranchise,позбавити виборчих прав,
English,Ukrainian,hamlet,хутір,
English,Ukrainian,compound,з'єднання,
English,Ukrainian,spook,привид,
English,Ukrainian,docile,слухняний,
English,Ukrainian,devouring,пожираючий,
English,Ukrainian,spanking,шльопання,
English,Ukrainian,grind,подрібнити,
English,Ukrainian,dissect,препарувати,
English,Ukrainian,peculiar,своєрідний,
English,Ukrainian,idiosyncratic,ідіосинкратичний,
English,Ukrainian,overhaul,капітальний ремонт,
English,Ukrainian,cramps,судоми,
English,Ukrainian,skillet,сковорода,
English,Ukrainian,requite,відповідний,
